广东频道,#genre#
CCTV-9,http://123.113.237.36:8012/rtp/239.3.1.62:8112
CCTV-9,http://114.243.105.128:8822/rtp/239.3.1.62:8112
CCTV-10,http://111.193.225.167:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.241.166.2:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.240.43.183:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.243.104.92:8888/rtp/239.3.1.63:8116
CCTV-10,http://123.117.51.57:5555/rtp/239.3.1.63:8116
CCTV-10,http://123.123.167.240:8000/rtp/239.3.1.63:8116
CCTV-10,http://123.118.107.183:4022/rtp/239.3.1.63:8116
CCTV-10,http://114.252.227.154:8000/rtp/239.3.1.63:8116
CCTV-10,http://221.221.92.194:8888/rtp/239.3.1.63:8116
CCTV-10,http://114.243.107.72:8822/rtp/239.3.1.63:8116
CCTV-10,http://221.221.146.211:8182/rtp/239.3.1.63:8116
CCTV-10,http://114.243.108.168:8822/rtp/239.3.1.63:8116
CCTV-10,http://123.113.237.36:8012/rtp/239.3.1.63:8116
CCTV-10,http://114.243.105.128:8822/rtp/239.3.1.63:8116
CCTV-10,http://222.129.32.189:8686/rtp/239.3.1.63:8116
CCTV-11,http://111.193.225.167:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.241.166.2:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.240.43.183:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.243.104.92:8888/rtp/239.3.1.152:8120
CCTV-11,http://123.117.51.57:5555/rtp/239.3.1.152:8120
CCTV-11,http://123.123.167.240:8000/rtp/239.3.1.152:8120
CCTV-11,http://123.118.107.183:4022/rtp/239.3.1.152:8120
CCTV-11,http://114.252.227.154:8000/rtp/239.3.1.152:8120
CCTV-11,http://221.221.92.194:8888/rtp/239.3.1.152:8120
CCTV-11,http://114.243.107.72:8822/rtp/239.3.1.152:8120
CCTV-11,http://221.221.146.211:8182/rtp/239.3.1.152:8120
CCTV-11,http://114.243.108.168:8822/rtp/239.3.1.152:8120
CCTV-11,http://123.113.237.36:8012/rtp/239.3.1.152:8120
CCTV-11,http://114.243.105.128:8822/rtp/239.3.1.152:8120
CCTV-11,http://222.129.32.189:8686/rtp/239.3.1.152:8120
CCTV-12,http://111.193.225.167:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.241.166.2:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.240.43.183:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.243.104.92:8888/rtp/239.3.1.64:8124
CCTV-12,http://123.117.51.57:5555/rtp/239.3.1.64:8124
CCTV-12,http://123.123.167.240:8000/rtp/239.3.1.64:8124
CCTV-12,http://123.118.107.183:4022/rtp/239.3.1.64:8124
CCTV-12,http://114.252.227.154:8000/rtp/239.3.1.64:8124
CCTV-12,http://221.221.92.194:8888/rtp/239.3.1.64:8124
CCTV-12,http://114.243.107.72:8822/rtp/239.3.1.64:8124
CCTV-12,http://221.221.146.211:8182/rtp/239.3.1.64:8124
CCTV-12,http://114.243.108.168:8822/rtp/239.3.1.64:8124
CCTV-12,http://123.113.237.36:8012/rtp/239.3.1.64:8124
CCTV-12,http://114.243.105.128:8822/rtp/239.3.1.64:8124
CCTV-12,http://222.129.32.189:8686/rtp/239.3.1.64:8124
CCTV-13,http://111.193.225.167:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.241.166.2:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.240.43.183:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.243.104.92:8888/rtp/239.3.1.124:8128
CCTV-13,http://123.117.51.57:5555/rtp/239.3.1.124:8128
CCTV-13,http://123.123.167.240:8000/rtp/239.3.1.124:8128
CCTV-13,http://123.118.107.183:4022/rtp/239.3.1.124:8128
CCTV-13,http://114.252.227.154:8000/rtp/239.3.1.124:8128
CCTV-13,http://221.221.92.194:8888/rtp/239.3.1.124:8128
CCTV-13,http://114.243.107.72:8822/rtp/239.3.1.124:8128
CCTV-13,http://221.221.146.211:8182/rtp/239.3.1.124:8128
CCTV-13,http://114.243.108.168:8822/rtp/239.3.1.124:8128
CCTV-13,http://123.113.237.36:8012/rtp/239.3.1.124:8128
CCTV-13,http://114.243.105.128:8822/rtp/239.3.1.124:8128
CCTV-13,http://222.129.32.189:8686/rtp/239.3.1.124:8128
CCTV-14,http://111.193.225.167:8888/rtp/239.3.1.65:8132
CCTV-14,http://114.241.166.2:8888/rtp/239.3.1.65:8132
CCTV-14,http://114.240.43.183:8888/rtp/239.3.1.65:8132
CCTV-14,http://114.243.104.92:8888/rtp/239.3.1.65:8132
CCTV-14,http://123.117.51.57:5555/rtp/239.3.1.65:8132
CCTV-14,http://123.123.167.240:8000/rtp/239.3.1.65:8132
CCTV-14,http://123.118.107.183:4022/rtp/239.3.1.65:8132
CCTV-14,http://114.252.227.154:8000/rtp/239.3.1.65:8132
CCTV-14,http://221.221.92.194:8888/rtp/239.3.1.65:8132
CCTV-14,http://114.243.107.72:8822/rtp/239.3.1.65:8132
CCTV-14,http://221.221.146.211:8182/rtp/239.3.1.65:8132
